# Tiempo (s) 	 Tensión CH1 (V) 	 Tensión CH2 (V)
5.899999999999997721e-06	9.600000000000001421e+00	0.000000000000000000e+00
6.000000000000000152e-06	9.600000000000001421e+00	0.000000000000000000e+00
6.099999999999995806e-06	9.600000000000001421e+00	-4.000000000000000192e-04
6.199999999999998237e-06	9.600000000000001421e+00	0.000000000000000000e+00
6.300000000000000668e-06	9.600000000000001421e+00	-4.000000000000000192e-04
6.399999999999996322e-06	9.600000000000001421e+00	0.000000000000000000e+00
6.499999999999998753e-06	9.800000000000000711e+00	-4.000000000000000192e-04
6.599999999999994407e-06	9.800000000000000711e+00	0.000000000000000000e+00
6.699999999999996838e-06	9.800000000000000711e+00	0.000000000000000000e+00
6.799999999999999269e-06	1.000000000000000000e+01	0.000000000000000000e+00
6.899999999999994923e-06	1.000000000000000000e+01	0.000000000000000000e+00
6.999999999999997354e-06	1.000000000000000000e+01	0.000000000000000000e+00
7.099999999999999785e-06	1.000000000000000000e+01	-4.000000000000000192e-04
7.199999999999995439e-06	1.020000000000000107e+01	0.000000000000000000e+00
7.299999999999997870e-06	1.020000000000000107e+01	4.000000000000000192e-04
7.400000000000000300e-06	1.020000000000000107e+01	0.000000000000000000e+00
7.499999999999995955e-06	1.020000000000000107e+01	0.000000000000000000e+00
7.599999999999998386e-06	1.020000000000000107e+01	0.000000000000000000e+00
7.699999999999994040e-06	1.020000000000000107e+01	0.000000000000000000e+00
7.799999999999996471e-06	1.020000000000000107e+01	0.000000000000000000e+00
7.899999999999998901e-06	1.000000000000000000e+01	0.000000000000000000e+00
7.999999999999994556e-06	9.800000000000000711e+00	0.000000000000000000e+00
8.099999999999996986e-06	1.000000000000000000e+01	0.000000000000000000e+00
8.199999999999999417e-06	9.800000000000000711e+00	0.000000000000000000e+00
8.299999999999995072e-06	9.800000000000000711e+00	0.000000000000000000e+00
8.399999999999997502e-06	9.800000000000000711e+00	0.000000000000000000e+00
8.499999999999999933e-06	9.800000000000000711e+00	-4.000000000000000192e-04
8.599999999999995587e-06	9.600000000000001421e+00	0.000000000000000000e+00
8.699999999999998018e-06	9.600000000000001421e+00	4.000000000000000192e-04
8.800000000000000449e-06	9.800000000000000711e+00	-4.000000000000000192e-04
8.899999999999996103e-06	9.800000000000000711e+00	0.000000000000000000e+00
8.999999999999998534e-06	9.800000000000000711e+00	0.000000000000000000e+00
9.099999999999994188e-06	1.000000000000000000e+01	0.000000000000000000e+00
9.199999999999996619e-06	1.000000000000000000e+01	0.000000000000000000e+00
9.299999999999999050e-06	1.000000000000000000e+01	0.000000000000000000e+00
9.399999999999994704e-06	1.000000000000000000e+01	-4.000000000000000192e-04
9.499999999999997135e-06	1.000000000000000000e+01	0.000000000000000000e+00
9.599999999999999566e-06	1.020000000000000107e+01	0.000000000000000000e+00
9.699999999999995220e-06	1.020000000000000107e+01	0.000000000000000000e+00
9.799999999999997651e-06	1.020000000000000107e+01	0.000000000000000000e+00
9.900000000000000081e-06	1.020000000000000107e+01	-4.000000000000000192e-04
9.999999999999995736e-06	1.020000000000000107e+01	-4.000000000000000192e-04
1.009999999999999817e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.020000000000000060e-05	1.000000000000000000e+01	-4.000000000000000192e-04
1.029999999999999625e-05	1.020000000000000107e+01	-4.000000000000000192e-04
1.039999999999999868e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.049999999999999434e-05	1.020000000000000107e+01	0.000000000000000000e+00
1.059999999999999677e-05	1.000000000000000000e+01	0.000000000000000000e+00
1.069999999999999920e-05	1.000000000000000000e+01	-4.000000000000000192e-04
1.079999999999999485e-05	9.800000000000000711e+00	-4.000000000000000192e-04
1.089999999999999728e-05	9.800000000000000711e+00	0.000000000000000000e+00
1.099999999999999971e-05	1.000000000000000000e+01	-4.000000000000000192e-04
