tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.00292,-46.4,-44.8,-9
0.00293,-46.4,-44,-8.8
0.00293,-47.2,-44.8,-8.6
0.00294,-46.4,-43.2,-8.8
0.00294,-47.2,-44.8,-8.8
0.00294,-45.6,-44.8,-8.8
0.00295,-46.4,-44,-9
0.00295,-44,-44,-8.8
0.00296,-44,-43.2,-8.8
0.00296,-41.6,-42.4,-9
0.00296,-41.6,-41.6,-9
0.00297,-38.4,-40,-8.8
0.00297,-37.6,-39.2,-9
0.00298,-34.4,-36,-8.8
0.00298,-33.6,-35.2,-9
0.00298,-30.4,-32.8,-9
0.00299,-26.4,-31.2,-9
0.00299,-24,-27.2,-8.8
0.00299,-21.6,-25.6,-9
0.003,-19.2,-22.4,-8.8
0.003,-18.4,-20,-9
0.00301,-13.6,-16,-9
0.00301,-12,-14.4,-8.8
0.00301,-9.6,-10.4,-9
0.00302,-7.2,-9.6,-9
0.00302,-4.8,-5.6,-9
0.00303,-3.2,-4.8,-9
0.00304,1.6,2.4,-9
0.00304,4,2.4,-9
0.00305,4.8,5.6,-8.8
0.00305,7.2,6.4,-8.8
0.00306,7.2,8,-8.8
0.00306,10.4,9.6,-9
0.00306,10.4,9.6,-8.8
0.00307,11.2,13.6,-8.8
0.00307,12.8,13.6,-8.8
0.00308,12.8,14.4,-8.8
0.00308,14.4,15.2,-8.8
0.00308,16.8,16,-8.8
0.00309,16,17.6,-8.8
0.00309,16.8,18.4,-9
0.0031,16.8,19.2,-8.8
0.0031,18.4,20.8,-9
0.0031,18.4,20,-9
0.00311,18.4,20.8,-8.8
0.00311,16.8,20.8,-8.8
0.00312,18.4,21.6,-9
0.00312,19.2,20.8,-8.8
0.00312,19.2,20,-8.8
0.00313,20,20,-9
0.00313,20,21.6,-9
0.00314,20,20.8,-9
0.00314,20.8,20.8,-9
0.00314,20.8,20.8,-8.8
0.00315,21.6,21.6,-9
0.00315,22.4,21.6,-8.8
0.00316,23.2,23.2,-8.8
0.00316,22.4,23.2,-8.8
0.00316,23.2,23.2,-8.8
0.00317,24,24,-9
0.00317,24.8,24.8,-8.8
0.00318,24.8,24.8,-8.8
0.00318,24.8,25.6,-8.8
0.00318,25.6,24.8,-8.8
0.00319,25.6,26.4,-9
0.00319,28,28,-9
0.0032,29.6,28,-8.8
